Starting run:
8c2f0916633948e9a880a83cdecaaaf3
N: 	20000
MODEL: 	cc
ABSTRACT_PEN: 	1.0
FINE_TUNE: 	False
MUZERO: 	False
params=Namespace(n=20000, b=10, abstract_pen=1.0, model='cc', seed=1, lr=0.0008, abstract_dim=32, tau_noise_std=0.0, freeze=False, load=False, ellis=False, no_log=False, fine_tune=False, tau_precompute=False, replace_trans_net=False, batch_norm=False, no_tau_norm=False, relational_micro=False, toy_test=False, separate_option_nets=False, gumbel=False, g_start_temp=1, g_stop_temp=1, num_categories=8, shrink_micro_net=False, shrink_loss_scale=1, length=(4,), muzero=False, muzero_scratch=False, num_test=200, test_every=60, save_every=180, neurosym=True, dim=128, num_attn_blocks=4, num_heads=8, traj_updates=500000000.0, batch_size=128, model_load_path='models/e14b78d01cc548239ffd57286e59e819.pt', gumbel_sched=False, device='NVIDIA GeForce RTX 2080 Ti', id='8c2f0916633948e9a880a83cdecaaaf3')
wandb: Currently logged in as: simonalford42. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.12.21
wandb: Run data is saved locally in /home/sca63/abstraction/wandb/run-20220801_143444-1ccvfolv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run glad-oath-140
wandb: ⭐️ View project at https://wandb.ai/simonalford42/abstraction
wandb: 🚀 View run at https://wandb.ai/simonalford42/abstraction/runs/1ccvfolv
Net has 251670 parameters
loss=tensor(0.0012, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.75344
loss=tensor(0.0013, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.74907
loss=tensor(0.0011, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.74458
loss=tensor(0.0006, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.746
loss=tensor(0.0013, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.73778
loss=tensor(0.0010, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.7436
loss=tensor(0.0012, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.7332
loss=tensor(0.0008, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.74709
loss=tensor(0.0013, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.74995
loss=tensor(0.0006, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.75343
loss=tensor(0.0010, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.76226
loss=tensor(0.0006, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.756
loss=tensor(0.0008, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.75371
loss=tensor(0.0007, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.76111
loss=tensor(0.0016, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.7628
loss=tensor(0.0011, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.75732
loss=tensor(0.0010, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.74275
loss=tensor(0.0015, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.76838
loss=tensor(0.0007, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.76605
loss=tensor(0.0005, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.76222
loss=tensor(0.0007, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.77571
loss=tensor(0.0011, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.76674
loss=tensor(0.0009, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.76598
loss=tensor(0.0006, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.76761
loss=tensor(0.0024, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.76663
loss=tensor(0.0008, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.78388
loss=tensor(0.0008, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.77828
loss=tensor(0.0012, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.77561
loss=tensor(0.0012, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.77986
loss=tensor(0.0011, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.75881
loss=tensor(0.0006, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.76504
loss=tensor(0.0010, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.79496
loss=tensor(0.0007, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.78247
loss=tensor(0.0006, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.7886
loss=tensor(0.0006, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.77648
loss=tensor(0.0010, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.76753
loss=tensor(0.0016, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.7614
loss=tensor(0.0003, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.78226
loss=tensor(0.0009, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.7843
loss=tensor(0.0010, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.79813
loss=tensor(0.0013, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.78744
loss=tensor(0.0012, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.79948
loss=tensor(0.0009, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.78951
loss=tensor(0.0014, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.80498
loss=tensor(0.0005, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.78936
